region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
VII (Central Visayas),Mactan,Military,742,1242,608,652,361,217,330,359,-,213,-,-,4724
VII (Central Visayas),Siquijor,G. Aviation, -   , -   ,42,56,58,42, -   , -   , -   , -   , -   , -   ,198
VII (Central Visayas),Tagbilaran,PAL,124,116,124,138,186,166,128,126,120,160,158,172,1718
VII (Central Visayas),Tagbilaran,Cebu Pacific,122,118,124,146,170,162,124,124,120,126,122,124,1582
VII (Central Visayas),Tagbilaran,G. Aviation,282,262,238,232,228,64,138,134,184,168,182,136,2248
VII (Central Visayas),Tagbilaran,Military,6, -   , -   , -   ,36, -   ,4,10,8, -   , -   , -   ,64
VII (Central Visayas),Ubay,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2,4,6
VIII (Eastern Visayas),Biliran,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
VIII (Eastern Visayas),Borongan,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
VIII (Eastern Visayas),Calbayog,PAL, -   , -   , -   , -   , -   , -   ,18,32,-,-,-,-,0
VIII (Eastern Visayas),Calbayog,Zest Air, -   , -   , -   , -   , -   , -   , -   , -   , -   ,8, -   ,6,14
VIII (Eastern Visayas),Calbayog,Asian Spirit,26,22,24,26,26,24,26,18,18, -   , -   , -   ,210
VIII (Eastern Visayas),Calbayog,G. Aviation,34,10,22, -   ,46,56,62, -   , -   , -   , -   , -   ,230
VIII (Eastern Visayas),Calbayog,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
VIII (Eastern Visayas),Catarman,Asian Spirit,24,18,26,26,28,22,28,26,22,12,20,24,276
VIII (Eastern Visayas),Catarman,PAL Express, -   , -   , -   , -   , -   , -   , -   ,28,26,26,22,50,152
VIII (Eastern Visayas),Catarman,G. Aviation, -   , -   ,4, -   , -   ,2, -   ,2,2,4,12, -   ,26
VIII (Eastern Visayas),Catbalogan,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
VIII (Eastern Visayas),Guiuan,G. Aviation,30,18,30,34,32,8,10,20,6, -   , -   , -   ,188
VIII (Eastern Visayas),Hilongos,G. Aviation,46, -   ,14,14, -   ,22,48,124, -   , -   , -   ,28,296
VIII (Eastern Visayas),Maasin,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
VIII (Eastern Visayas),Ormoc,PAL, -   , -   , -   , -   , -   , -   , -   ,18, -   , -   ,28,28,74
VIII (Eastern Visayas),Ormoc,G. Aviation,190,114,124,150,178,168,176,174,312,396,444,290,2716
VIII (Eastern Visayas),Tacloban,PAL,190,114,124,150,178,168,176,174,170,180,180,78,1882
VIII (Eastern Visayas),Tacloban,Cebu Pacific,184,174,182,180,218,172,186,202,240,258,248,254,2498
VIII (Eastern Visayas),Tacloban,Air Philippines,34,34,32,34,12, -   , -   , -   , -   , -   , -   , -   ,146
VIII (Eastern Visayas),Tacloban,PAL Express, -   , -   , -   , -   ,26,54,62,62,60,62,60,64,450
VIII (Eastern Visayas),Tacloban,Seair,14,6,6,8,2,4,2,4,10, -   , -   , -   ,56
VIII (Eastern Visayas),Tacloban,G. Aviation,24,20,20,28,14,10,26,26,12, -   , -   , -   ,180
VIII (Eastern Visayas),Tacloban,Military, -   ,4,4,2,4,4, -   ,4,4, -   , -   , -   ,26
ARMM,Cagayan de Sulu,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Dipolog,PAL,62,58,62,60,62,60,88,80,86,90,82,88,878
IX (Zamboanga Peninsula),Dipolog,Cebu Pacific,28,24,26,36,34,32,36,40,42,74,84,130,586
IX (Zamboanga Peninsula),Dipolog,Asian Spirit, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Dipolog,G. Aviation,232,172,272,278,172,124,138,86,114,142,94,62,1886
IX (Zamboanga Peninsula),Dipolog,Military,2,8,2,8,12,6,18,8,20,10,10,4,108
IX (Zamboanga Peninsula),Ipil,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Ipil,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
ARMM,Jolo,Seair,76,78,74, -   ,76, -   ,56,66,60,66,54,72,678
ARMM,Jolo,G. Aviation,58,54,72, -   , -   , -   , -   , -   , -   , -   , -   , -   ,184
ARMM,Jolo,Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Liloy,G. Aviation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
IX (Zamboanga Peninsula),Pagadian,Asian Spirit, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
