region,airport,airline_operator,january ,february,march,april,may,june,july,august,september,october,november,december,total
X (Northern Mindanao),Cagayan de Oro,Air Philippines,306,268, -   ,292,308,296,316,346,320,320,308,308,3388
X (Northern Mindanao),Cagayan de Oro,G. Aviation,306,268, -   ,292,308,296,316,346,320,320,308,308,3388
X (Northern Mindanao),Cagayan de Oro,Zest Air, -   , -   , -   , -   , -   , -   ,48,60,60,92,110,88,458
X (Northern Mindanao),Cagayan de Oro,Military, -   , -   , -   , -   , -   , -   , -   , -   ,6, -   , -   , -   ,6
X (Northern Mindanao),Camiguin,G. Aviation, no report submitted ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
X (Northern Mindanao),Ozamis,PAL,42,40,44,42,44,44,44,42,34,2,26,34,438
X (Northern Mindanao),Ozamis,Air Philippines,48,54,62, -   ,62,60,62,72,26,90,94,98,728
X (Northern Mindanao),Ozamis,Cebu Pacific,96,148,98,120,124,108,104,120,120,124,120,124,1406
X (Northern Mindanao),Ozamis,G. Aviation, -   , -   , -   , -   , -   ,4, -   , -   , -   ,30, -   , -   ,34
XIII (Caraga),Siargao,Cebu Pacific,18,16,20,14, -   , -   ,18,18,18,18,16, -   ,156
XIII (Caraga),Siargao,G. Aviation,2,6, -   ,42, -   , -   ,12,18,16,14,6, -   ,116
XIII (Caraga),Surigao,PAL, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XIII (Caraga),Surigao,Cebu Pacific,32,28,40,40,44, -   , -   ,62,68,82,60,82,538
XIII (Caraga),Surigao,Air Philippines,84,86,110,54,62, -   , -   ,62,60,58,60,54,690
XIII (Caraga),Surigao,Zest Air, -   , -   , -   , -   , -   , -   , -   , -   , -   ,68, -   , -   ,68
XIII (Caraga),Surigao,G. Aviation,30,30,34,46,68, -   , -   ,52,40, -   ,58,26,384
XII (SOCCSKSARGEN),Allah Valley,G. Aviation, -   ,6,8,18,12, -   ,4,4,10, -   , -   ,2,64
XIII (Caraga),Bislig,G. Aviation, no report submitted ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XII (SOCCSKSARGEN),General Santos Tambler,Domestic, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XII (SOCCSKSARGEN),General Santos Tambler,PAL,62,56,62,60,62,60,62,62,54,46,60,62,708
XII (SOCCSKSARGEN),General Santos Tambler,Cebu Pacific,166,164,170,214,218,176,160,152,148,194,186,240,2188
XII (SOCCSKSARGEN),General Santos Tambler,Air Philippines, -   , -   , -   , -   , -   , -   , -   , -   , -   ,24,60,62,146
XII (SOCCSKSARGEN),General Santos Tambler,G. Aviation, -   ,6,28, -   ,36,20,8,8,16,14,38,24,198
XI (Davao Region),Davao (International),Silk Air,46,40,44,42,44,44,44,44,42,46,42,44,522
XI (Davao Region),Davao (Domestic),PAL,254,230,258,242,254,240,248,250,226,174,242,250,2868
XI (Davao Region),Davao (Domestic),Cebu Pacific,706,678,754,738,770,744,754,754,728,794,800,914,9134
XI (Davao Region),Davao (Domestic),Air Philippines,456,408,428,464,432,388,358,390,390,424,410,408,4956
XI (Davao Region),Davao (Domestic),Zest Air,138,138,166,164,168,160,114,82,120,134,142,150,1676
XI (Davao Region),Davao (Domestic),Tiger Airways, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,26,26,52
XI (Davao Region),Davao (Domestic),G. Aviation,270,220,370,286,280,342,388,402,342,336,328,280,3844
XI (Davao Region),Davao (Domestic),Military, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XI (Davao Region),Mati,G. Aviation, no report submitted ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
XIII (Caraga),Tandag,G. Aviation,4,2,6,4,8,6,2,2,6,8, -   , -   ,48
ARMM,Cotabato,PAL,62,56,62,58,60,60,62,62,,30,,60,572
ARMM,Cotabato,Cebu Pacific,62,56,62,60,58,60,60,62,52,62,56,60,710
ARMM,Cotabato,Air Philippines, -   , -   , -   , -   , -   , -   ,200, -   ,168,24,60,60,512
ARMM,Cotabato,G. Aviation,14,22,44,28,48,40,38,20,24,28,26,32,364
ARMM,Cotabato,Military,84,74,68,66,60,90,100,52,84,58,84,66,886
X (Northern Mindanao),Iligan,G. Aviation, no report submitted ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0
ARMM,Malabang,G. Aviation, no report submitted ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
